Price,ITUB3.SA
Ticker,ITUB3.SA
Date,
2016-06-22,6.9815216064453125
2016-06-23,7.058484077453613
2016-06-24,6.967777252197266
2016-06-27,6.780873775482178
2016-06-28,6.926551342010498
2016-06-29,6.9815216064453125
2016-06-30,7.1519389152526855
2016-07-01,7.26332426071167
2016-07-04,7.310076713562012
2016-07-05,7.2385663986206055
2016-07-06,7.205565452575684
2016-07-07,7.205565452575684
2016-07-08,7.475090026855469
2016-07-11,7.508091926574707
2016-07-12,7.406330108642578
2016-07-13,7.6236042976379395
2016-07-14,7.865622043609619
2016-07-15,7.906872749328613
2016-07-18,8.030635833740234
2016-07-19,8.058131217956543
2016-07-20,8.110390663146973
2016-07-21,8.019631385803223
2016-07-22,8.044384956359863
2016-07-25,8.049886703491211
2016-07-26,7.9756269454956055
2016-07-27,8.025131225585938
2016-07-28,7.9811320304870605
2016-07-29,8.06913948059082
2016-08-01,8.012725830078125
2016-08-02,8.034741401672363
2016-08-03,8.298897743225098
2016-08-04,8.318158149719238
2016-08-05,8.337419509887695
2016-08-08,8.348427772521973
2016-08-09,8.36218547821045
2016-08-10,8.282387733459473
2016-08-11,8.36218547821045
2016-08-12,8.44198226928711
2016-08-15,8.726067543029785
2016-08-16,8.659154891967773
2016-08-17,8.767885208129883
2016-08-18,8.748371124267578
2016-08-19,8.709341049194336
2016-08-22,8.636856079101562
2016-08-23,8.558793067932129
2016-08-24,8.536489486694336
2016-08-25,8.391522407531738
2016-08-26,8.628488540649414
2016-08-29,8.726067543029785
2016-08-30,8.806913375854492
2016-08-31,8.56158447265625
2016-09-01,8.752649307250977
2016-09-02,8.984146118164062
2016-09-05,8.900472640991211
2016-09-06,8.953472137451172
2016-09-08,8.925573348999023
2016-09-09,8.509982109069824
2016-09-12,8.744277000427246
2016-09-13,8.512765884399414
2016-09-14,8.646652221679688
2016-09-15,8.844691276550293
2016-09-16,8.576925277709961
2016-09-19,8.643864631652832
2016-09-20,8.696860313415527
2016-09-21,8.727540969848633
2016-09-22,8.847479820251465
2016-09-23,8.841899871826172
2016-09-26,8.6633882522583
2016-09-27,8.747063636779785
2016-09-28,8.864221572875977
2016-09-29,8.730330467224121
2016-09-30,8.702437400817871
2016-10-03,8.915913581848145
2016-10-04,9.044286727905273
2016-10-05,9.155911445617676
2016-10-06,9.284274101257324
2016-10-07,9.334505081176758
2016-10-10,9.37915325164795
2016-10-11,9.345664978027344
2016-10-13,9.340084075927734
2016-10-14,9.496359825134277
2016-10-17,9.630304336547852
2016-10-18,9.746111869812012
2016-10-19,9.546589851379395
2016-10-20,9.629470825195312
2016-10-21,9.583429336547852
2016-10-24,9.580358505249023
2016-10-25,9.515898704528809
2016-10-26,9.4698486328125
2016-10-27,9.841279983520508
2016-10-28,9.822857856750488
2016-10-31,10.234192848205566
2016-11-01,9.919412612915039
2016-11-03,9.661446571350098
2016-11-04,9.719792366027832
2016-11-07,9.910192489624023
2016-11-08,9.96240520477295
2016-11-09,9.701363563537598
2016-11-10,9.308276176452637
2016-11-11,9.160865783691406
2016-11-14,9.044169425964355
2016-11-16,9.434187889099121
2016-11-17,9.185434341430664
2016-11-18,9.246850967407227
2016-11-21,9.391195297241211
2016-11-22,9.397332191467285
2016-11-23,9.366623878479004
2016-11-24,9.243786811828613
2016-11-25,9.225358009338379
2016-11-28,9.173151016235352
2016-11-29,9.071808815002441
2016-11-30,9.397332191467285
2016-12-01,8.965641021728516
2016-12-02,9.005590438842773
2016-12-05,8.922626495361328
2016-12-06,9.03323745727539
2016-12-07,8.96257209777832
2016-12-08,9.039384841918945
2016-12-09,9.051674842834473
2016-12-12,8.603086471557617
2016-12-13,8.753643989562988
2016-12-14,8.725990295410156
2016-12-15,8.66453742980957
2016-12-16,8.603086471557617
2016-12-19,8.486331939697266
2016-12-20,8.649178504943848
2016-12-21,8.658390998840332
2016-12-22,8.695260047912598
2016-12-23,8.898799896240234
2016-12-26,8.905046463012695
2016-12-27,8.876922607421875
2016-12-28,9.030033111572266
2016-12-29,9.373736381530762
2017-01-02,9.275256156921387
2017-01-03,9.553483963012695
2017-01-04,9.691039085388184
2017-01-05,9.709796905517578
2017-01-06,9.722294807434082
2017-01-09,9.681655883789062
2017-01-10,9.681655883789062
2017-01-11,9.691039085388184
2017-01-12,9.862971305847168
2017-01-13,9.653524398803711
2017-01-16,9.73167610168457
2017-01-17,9.966137886047363
2017-01-18,9.906742095947266
2017-01-19,9.86922836303711
2017-01-20,9.878606796264648
2017-01-23,10.088052749633789
2017-01-24,10.081807136535645
2017-01-26,10.27249813079834
2017-01-27,10.316261291503906
2017-01-30,9.944249153137207
2017-01-31,10.050538063049316
2017-02-01,10.030210494995117
2017-02-02,10.061485290527344
2017-02-03,10.164705276489258
2017-02-06,10.073997497558594
2017-02-07,10.45869255065918
2017-02-08,10.758943557739258
2017-02-09,10.884044647216797
2017-02-10,10.99038314819336
2017-02-13,10.868410110473633
2017-02-14,10.843389511108398
2017-02-15,11.221826553344727
2017-02-16,11.096719741821289
2017-02-17,11.131134986877441
2017-02-20,11.187422752380371
2017-02-21,11.441705703735352
2017-02-22,11.438506126403809
2017-02-23,11.31383228302002
2017-02-24,11.19234561920166
2017-03-01,11.293099403381348
2017-03-02,11.12998104095459
2017-03-03,11.309085845947266
2017-03-06,11.33146858215332
2017-03-07,11.136380195617676
2017-03-08,11.040432929992676
2017-03-09,11.072408676147461
2017-03-10,11.085209846496582
2017-03-13,11.222734451293945
2017-03-14,11.14277458190918
2017-03-15,11.200348854064941
2017-03-16,10.976459503173828
2017-03-17,10.835739135742188
2017-03-20,10.90930461883545
2017-03-21,10.62785530090332
2017-03-22,10.726994514465332
2017-03-23,10.714203834533691
2017-03-24,10.774969100952148
2017-03-27,10.96367073059082
2017-03-28,10.835739135742188
2017-03-29,10.966870307922363
2017-03-30,10.947683334350586
2017-03-31,10.80056095123291
2017-04-03,10.853353500366211
2017-04-04,10.88535213470459
2017-04-05,10.779759407043457
2017-04-06,10.702972412109375
2017-04-07,10.827757835388184
2017-04-10,10.702972412109375
2017-04-11,10.664569854736328
2017-04-12,10.68056869506836
2017-04-13,10.494987487792969
2017-04-17,10.834157943725586
2017-04-18,10.888556480407715
2017-04-19,10.802159309387207
2017-04-20,10.68056869506836
2017-04-24,10.875752449035645
2017-04-25,10.894951820373535
2017-04-26,10.907745361328125
2017-04-27,10.981341361999512
2017-04-28,10.898152351379395
2017-05-02,11.26467514038086
2017-05-03,11.123825073242188
2017-05-04,10.787713050842285
2017-05-05,10.890145301818848
2017-05-08,10.947766304016113
2017-05-09,11.040599822998047
2017-05-10,11.072617530822754
2017-05-11,11.168646812438965
2017-05-12,11.219861030578613
2017-05-15,11.290285110473633
2017-05-16,11.248674392700195
2017-05-17,11.168646812438965
2017-05-18,10.061062812805176
2017-05-19,10.272333145141602
2017-05-22,9.939419746398926
2017-05-23,10.105879783630371
2017-05-24,10.217910766601562
2017-05-25,10.134686470031738
2017-05-26,10.329952239990234
2017-05-29,10.329952239990234
2017-05-30,10.320356369018555
2017-05-31,10.33315658569336
2017-06-01,10.238680839538574
2017-06-02,10.270707130432129
2017-06-05,10.22586727142334
2017-06-06,10.402005195617676
2017-06-07,10.533315658569336
2017-06-08,10.507697105407715
2017-06-09,10.421226501464844
2017-06-12,10.411614418029785
2017-06-13,10.536519050598145
2017-06-14,10.651809692382812
2017-06-15,10.651809692382812
2017-06-16,10.581361770629883
2017-06-19,10.680634498596191
2017-06-20,10.4052152633667
2017-06-21,10.382796287536621
2017-06-22,10.312336921691895
2017-06-23,10.280314445495605
2017-06-26,10.4052152633667
2017-06-27,10.373187065124512
2017-06-28,10.337960243225098
2017-06-29,10.35396957397461
2017-06-30,10.421226501464844
2017-07-03,10.454869270324707
2017-07-04,10.499724388122559
2017-07-05,10.496522903442383
2017-07-06,10.50613021850586
2017-07-07,10.342727661132812
2017-07-10,10.371562004089355
2017-07-11,10.454869270324707
2017-07-12,10.512543678283691
2017-07-13,10.53817367553711
2017-07-14,10.68556022644043
2017-07-17,10.653521537780762
2017-07-18,10.599052429199219
2017-07-19,10.611867904663086
2017-07-20,10.531765937805176
2017-07-21,10.518948554992676
2017-07-24,10.554198265075684
2017-07-25,10.541380882263184
2017-07-26,10.525358200073242
2017-07-27,10.554198265075684
2017-07-28,10.541380882263184
2017-07-31,10.599052429199219
2017-08-01,10.876328468322754
2017-08-02,10.950053215026855
2017-08-03,11.030193328857422
2017-08-04,11.023777961730957
2017-08-07,11.091094970703125
2017-08-08,11.184057235717773
2017-08-09,11.084689140319824
2017-08-10,10.953261375427246
2017-08-11,10.962873458862305
2017-08-14,11.119948387145996
2017-08-15,11.28501033782959
2017-08-16,11.362838745117188
2017-08-17,11.252578735351562
2017-08-18,11.447159767150879
2017-08-21,11.30121898651123
2017-08-22,11.53795051574707
2017-08-23,11.726032257080078
2017-08-24,11.706583023071289
2017-08-25,11.644967079162598
2017-08-28,11.670902252197266
2017-08-29,11.674153327941895
2017-08-30,11.651444435119629
2017-08-31,11.56713581085205
2017-09-01,11.76665210723877
2017-09-04,11.743950843811035
2017-09-05,11.698524475097656
2017-09-06,11.99050235748291
2017-09-07,11.99050235748291
2017-09-08,12.074848175048828
2017-09-11,12.217597007751465
2017-09-12,12.23381519317627
2017-09-13,12.327901840209961
2017-09-14,12.23705768585205
2017-09-15,12.486856460571289
2017-09-18,12.5355224609375
2017-09-19,12.587428092956543
2017-09-20,12.457663536071777
2017-09-21,12.396034240722656
2017-09-22,12.37656021118164
2017-09-25,12.36358642578125
2017-09-26,12.3862886428833
2017-09-27,12.353850364685059
2017-09-28,12.353850364685059
2017-09-29,12.457663536071777
2017-10-02,12.478759765625
2017-10-03,12.757868766784668
2017-10-04,12.764358520507812
2017-10-05,12.81303882598877
2017-10-06,12.699453353881836
2017-10-09,12.566381454467773
2017-10-10,12.725417137145996
2017-10-11,12.764358520507812
2017-10-12,12.764358520507812
2017-10-13,12.890931129455566
2017-10-16,12.783832550048828
2017-10-17,12.699453353881836
2017-10-18,12.777335166931152
2017-10-19,12.76760196685791
2017-10-20,12.748135566711426
2017-10-23,12.621556282043457
2017-10-24,12.631299018859863
2017-10-25,12.790318489074707
2017-10-26,12.822776794433594
2017-10-27,12.877948760986328
2017-10-30,12.715682029724121
2017-10-31,12.46902084350586
2017-11-01,12.17194652557373
2017-11-02,12.17194652557373
2017-11-03,12.3180570602417
2017-11-06,12.3180570602417
2017-11-07,12.048574447631836
2017-11-08,12.366753578186035
2017-11-09,12.016106605529785
2017-11-10,12.142733573913574
2017-11-13,12.214159965515137
2017-11-14,12.058309555053711
2017-11-15,12.058309555053711
2017-11-16,12.3699951171875
2017-11-17,12.425189971923828
2017-11-20,12.425189971923828
2017-11-21,12.538827896118164
2017-11-22,12.447918891906738
2017-11-23,12.379731178283691
2017-11-24,12.311553001403809
2017-11-27,12.337530136108398
2017-11-28,12.564796447753906
2017-11-29,12.360254287719727
2017-11-30,12.048574447631836
2017-12-01,11.991734504699707
2017-12-04,12.108654022216797
2017-12-05,12.053447723388672
2017-12-06,11.96900463104248
2017-12-07,12.014470100402832
2017-12-08,12.28405475616455
2017-12-11,12.30353832244873
2017-12-12,12.407477378845215
2017-12-13,12.400983810424805
2017-12-14,12.001477241516113
2017-12-15,12.23772144317627
2017-12-18,12.064897537231445
2017-12-19,11.963811874389648
2017-12-20,12.064897537231445
2017-12-21,12.195330619812012
2017-12-22,12.064897537231445
2017-12-25,12.064897537231445
2017-12-26,12.211634635925293
2017-12-27,12.21815013885498
2017-12-28,12.289887428283691
2017-12-29,12.289887428283691
2018-01-02,12.552491188049316
2018-01-03,12.650352478027344
2018-01-04,12.790619850158691
2018-01-05,12.87869930267334
2018-01-08,12.806925773620605
2018-01-09,12.62425422668457
2018-01-10,12.673185348510742
2018-01-11,12.950465202331543
2018-01-12,12.787355422973633
2018-01-15,12.82650375366211
2018-01-16,12.914583206176758
2018-01-17,13.06137752532959
2018-01-18,13.097264289855957
2018-01-19,13.149452209472656
2018-01-22,13.341917037963867
2018-01-23,13.283188819885254
2018-01-24,13.961705207824707
2018-01-25,13.961705207824707
2018-01-26,14.542354583740234
2018-01-29,14.451018333435059
2018-01-30,14.323798179626465
2018-01-31,14.464064598083496
2018-02-01,14.566853523254395
2018-02-02,14.48853874206543
2018-02-05,14.17854118347168
2018-02-06,14.43958854675293
2018-02-07,14.168749809265137
2018-02-08,14.145906448364258
2018-02-09,14.204651832580566
2018-02-14,14.716967582702637
2018-02-15,14.912753105163574
2018-02-16,14.893200874328613
2018-02-19,14.910350799560547
2018-02-20,15.157430648803711
2018-02-21,15.363325119018555
2018-02-22,15.473134994506836
2018-02-23,15.45255184173584
2018-02-26,15.407940864562988
2018-02-27,15.270674705505371
2018-02-28,14.961827278137207
2018-03-01,15.06995964050293
2018-03-02,15.310259819030762
2018-03-05,15.550559997558594
2018-03-06,15.574584007263184
2018-03-07,15.502490043640137
2018-03-08,15.35488224029541
2018-03-09,15.567717552185059
2018-03-12,15.650107383728027
2018-03-13,15.591752052307129
2018-03-14,15.365180015563965
2018-03-15,15.409811973571777
2018-03-16,15.310259819030762
2018-03-19,15.11115837097168
2018-03-20,15.06995964050293
2018-03-21,15.04249382019043
2018-03-22,15.01846694946289
2018-03-23,15.203837394714355
2018-03-26,15.279373168945312
2018-03-27,15.011601448059082
2018-03-28,15.183245658874512
2018-03-29,15.492188453674316
2018-04-02,15.466437339782715
2018-04-03,15.521397590637207
2018-04-04,15.421797752380371
2018-04-05,15.432100296020508
2018-04-06,15.497345924377441
2018-04-09,15.212337493896484
2018-04-10,15.363423347473145
2018-04-11,15.555728912353516
2018-04-12,15.521397590637207
2018-04-13,15.126485824584961
2018-04-16,14.855206489562988
2018-04-17,15.229499816894531
2018-04-18,15.521397590637207
2018-04-19,15.298177719116211
2018-04-20,15.359984397888184
2018-04-23,15.061237335205078
2018-04-24,15.00973129272461
2018-04-25,15.243241310119629
2018-04-26,15.421797752380371
2018-04-27,15.411489486694336
2018-04-30,15.143660545349121
2018-05-02,14.612936019897461
2018-05-03,14.420570373535156
2018-05-04,14.265984535217285
2018-05-07,14.355299949645996
2018-05-08,14.375904083251953
2018-05-09,14.386218070983887
2018-05-10,14.685065269470215
2018-05-11,14.472089767456055
2018-05-14,14.245365142822266
2018-05-15,14.156064987182617
2018-05-16,14.20414924621582
2018-05-17,13.66484260559082
2018-05-18,13.695756912231445
2018-05-21,13.60644245147705
2018-05-22,13.809106826782227
2018-05-23,13.692319869995117
2018-05-24,13.702622413635254
2018-05-25,13.530860900878906
2018-05-28,13.074003219604492
2018-05-29,12.984683990478516
2018-05-30,13.125533103942871
2018-06-01,13.281880378723145
2018-06-04,13.474318504333496
2018-06-05,13.11349868774414
2018-06-06,12.835150718688965
2018-06-07,12.711431503295898
2018-06-08,12.573979377746582
2018-06-11,12.288753509521484
2018-06-12,12.316242218017578
2018-06-13,12.06537914276123
2018-06-14,11.721738815307617
2018-06-15,11.907304763793945
2018-06-18,11.611775398254395
2018-06-19,12.195968627929688
2018-06-20,12.28531551361084
2018-06-21,11.976032257080078
2018-06-22,12.044758796691895
2018-06-25,12.048198699951172
2018-06-26,11.993223190307617
2018-06-27,11.814517974853516
2018-06-28,12.110054016113281
2018-06-29,12.336862564086914
2018-07-02,12.300761222839355
2018-07-03,12.658306121826172
2018-07-04,12.754570960998535
2018-07-05,12.682372093200684
2018-07-06,12.654865264892578
2018-07-10,12.926462173461914
2018-07-11,12.895527839660645
2018-07-12,12.995213508605957
2018-07-13,13.259929656982422
2018-07-16,13.328689575195312
2018-07-17,13.713726043701172
2018-07-18,13.648414611816406
2018-07-19,13.51089859008789
2018-07-20,13.975017547607422
2018-07-23,13.675925254821777
2018-07-24,13.83062744140625
2018-07-25,14.091899871826172
2018-07-26,13.9165678024292
2018-07-27,13.96126937866211
2018-07-30,14.167526245117188
2018-07-31,13.751547813415527
2018-08-01,13.866765975952148
2018-08-02,13.797981262207031
2018-08-03,14.100629806518555
2018-08-06,13.928671836853027
2018-08-07,13.945869445800781
2018-08-08,13.653532981872559
2018-08-09,13.619142532348633
2018-08-10,13.22707462310791
2018-08-13,13.323372840881348
2018-08-14,13.619142532348633
2018-08-15,13.447179794311523
2018-08-16,13.460939407348633
2018-08-17,13.288975715637207
2018-08-20,13.306239128112793
2018-08-21,13.067755699157715
2018-08-22,13.225570678710938
2018-08-23,12.913434982299805
2018-08-24,12.944998741149902
2018-08-27,13.32728099822998
2018-08-28,13.306239128112793
2018-08-29,13.274674415588379
2018-08-30,12.994091987609863
2018-08-31,13.116849899291992
2018-09-03,13.07300090789795
2018-09-04,12.865987777709961
2018-09-05,13.016860008239746
2018-09-06,13.206314086914062
2018-09-10,13.402792930603027
2018-09-11,13.115094184875488
2018-09-12,12.820378303527832
2018-09-13,12.855460166931152
2018-09-14,12.876510620117188
2018-09-17,13.167728424072266
2018-09-18,13.206314086914062
2018-09-19,13.25894546508789
2018-09-20,13.1466703414917
2018-09-21,13.25894546508789
2018-09-24,13.016860008239746
2018-09-25,12.978259086608887
2018-09-26,13.283512115478516
2018-09-27,13.451918601989746
2018-09-28,13.227371215820312
2018-10-01,13.232629776000977
2018-10-02,13.597675323486328
2018-10-03,14.247015953063965
2018-10-04,14.131197929382324
2018-10-05,14.282124519348145
2018-10-08,15.096430778503418
2018-10-09,14.95252513885498
2018-10-10,14.496232032775879
2018-10-11,14.324246406555176
2018-10-15,14.327751159667969
2018-10-16,14.815631866455078
2018-10-17,14.917428016662598
2018-10-18,14.675243377685547
2018-10-19,14.54537296295166
2018-10-22,14.678753852844238
2018-10-23,14.668217658996582
2018-10-24,14.285625457763672
2018-10-25,14.633115768432617
2018-10-26,14.668217658996582
2018-10-29,14.54887580871582
2018-10-30,15.008679389953613
2018-10-31,14.87881088256836
2018-11-01,15.294894218444824
2018-11-05,15.670610427856445
2018-11-06,15.502047538757324
2018-11-07,15.723265647888184
2018-11-08,15.315962791442871
2018-11-09,15.635492324829102
2018-11-12,15.66005802154541
2018-11-13,15.361617088317871
2018-11-14,15.344056129455566
2018-11-16,15.80051326751709
2018-11-19,15.90585708618164
2018-11-21,15.81104564666748
2018-11-22,15.958513259887695
